year,the United States,United Kingdom,India,China,Australia,Germany,France,Japan,Italy,Russia,Canada,Others
2000,11,1.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,1.0,4.0,47.0
2001,28,1.0,0.0,3.0,4.0,8.0,3.0,2.0,0.0,2.0,1.0,45.0
2002,14,0.0,1.0,2.0,3.0,2.0,2.0,5.0,1.0,4.0,0.0,29.0
2003,23,3.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,1.0,0.0,35.0
2004,20,2.0,7.0,2.0,4.0,3.0,2.0,3.0,0.0,3.0,1.0,44.0
2005,36,4.0,6.0,8.0,5.0,6.0,9.0,8.0,0.0,2.0,4.0,49.0
2006,30,0.0,8.0,8.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,60.0
2007,34,4.0,6.0,9.0,7.0,5.0,5.0,4.0,3.0,8.0,3.0,58.0
2008,26,3.0,13.0,13.0,6.0,4.0,4.0,6.0,2.0,9.0,7.0,82.0
2009,39,2.0,10.0,6.0,13.0,8.0,5.0,10.0,1.0,2.0,2.0,83.0
2010,81,13.0,17.0,20.0,21.0,12.0,14.0,22.0,10.0,10.0,11.0,162.0
2011,81,5.0,14.0,17.0,17.0,16.0,18.0,23.0,8.0,8.0,12.0,170.0
2012,106,8.0,24.0,25.0,19.0,9.0,12.0,14.0,13.0,14.0,13.0,189.0
2013,109,7.0,11.0,30.0,27.0,13.0,14.0,21.0,19.0,14.0,13.0,204.0
2014,120,10.0,22.0,23.0,21.0,18.0,12.0,22.0,9.0,24.0,21.0,201.0
2015,209,14.0,50.0,54.0,44.0,25.0,32.0,28.0,17.0,28.0,23.0,336.0
2016,211,9.0,28.0,45.0,31.0,23.0,19.0,16.0,27.0,37.0,28.0,350.0
2017,208,13.0,36.0,57.0,31.0,25.0,22.0,29.0,22.0,21.0,14.0,359.0
2018,307,17.0,77.0,63.0,53.0,27.0,21.0,29.0,23.0,36.0,27.0,537.0
2019,216,25.0,49.0,56.0,53.0,35.0,24.0,33.0,24.0,14.0,29.0,383.0
2020,16,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,25.0
2021,151,30.0,63.0,49.0,56.0,37.0,41.0,34.0,42.0,21.0,31.0,620.0
2022,335,45.0,100.0,90.0,63.0,65.0,47.0,71.0,74.0,24.0,45.0,859.0
2023,67,10.0,10.0,9.0,13.0,7.0,10.0,11.0,11.0,3.0,16.0,162.0
